ID,lat,lng,name_of_site
37b0d795-1f06-44a8-824d-19ce400cc259,-30.547222,30.20881,Maqhoga Creche
1272a07f-e1a6-4aa6-a304-d2d4256611dc,-29.815628,-29.815630.638830,Masizakhe Creshe
7a1a0ea8-dc0d-41f6-ba64-7db292135e64,-30.537418,-30.537430.581675,Mathulini Creche
912e4ce5-cfa4-4a74-8801-e4c460804400,-30.553212,30.355047,Nakekela Creche
1947596b-c4bc-4d5f-bea9-7bac30c8e15f,-30.5557,30.27014,Ntimbankulu Creche
a00066a8-72b7-4312-b51d-8ca3ecc6f8ff,-30.526727,30.595253,Phaphamani Creche
8b8c3bee-5279-4c55-a37f-1a1ae755719b,,,Siyajabula Creshe
72895764-bbf6-4d47-9d18-ff968833c02e,-30.58414,30.418952,Siyakhula Creche
71c5b70a-41b4-4b18-8611-ef70c5f3c093,,,Sphethusolwazi Creche
227fecc0-482e-4259-82bc-8e1b38b6604c,-30.528977,30.192767,St Faiths Primary School
d8592c1c-c7f9-459d-987f-13d372d025db,-30.527713,30.58316,Sukuma Creche
8c42d8e6-c4d0-4afb-8027-07387fb2c32c,-30.525338,-30.525330.401078,Thandanani Creche
e4877a21-792b-4a66-971d-119952d65580,,,Thandokuhle Creche
6df782d2-4f07-40c4-9e67-4dad7e753738,-30.425518,-30.425530.149675,Thokomala Creche
149b6d31-3878-49c4-a642-7f5a02d0ae6c,-30.561543,30.416147,Thubelihle
3912f3b1-1fac-42d7-9b80-1d5495588665,,,Udado Creche
fdc72c6e-3b61-4129-bba1-9e4e4fe244c3,,,Umswilili Creche
5319374a-f9d2-4a54-aa1c-29d7a55f76b9,-30.5461,30.591277,Vumelani Creche
dd82fa2f-63ab-4f19-a356-68145aaf62cf,-30.49081,30.419195,Vusisizwe Creche
af5d5c89-360c-48f0-a9e8-d300d7e0eff0,,,Zwanani Creche
7b2eb928-0d11-4ca6-8ba0-37176678b3bc,-30.239337,30.735482,Amahlongwa Creach
b176512b-cfbe-42de-b035-ca51baca6f6e,,,Bonakele Creshe
10928e4c-7e22-4d62-bb2e-14a5fd9b9d20,-30.188598,-30.188530.509715,Celelani Creach
badb7193-1002-41c3-8095-0f2b7106c4b6,,,Dayimani Creshe
fcd10649-01e7-4dcd-bce0-b893141a78f4,-30.19632,30.578492,Du Drop
d70cb825-cb12-4c79-a60d-8ef39f24a09b,,,Ekubusisweni Educare Centre
d211cf42-d2f4-42ff-9f97-6ea3cf20a93d,,,Ekukhanyeni Creshe
4ffb52b0-421c-4b60-a52d-ce38948ef767,,,Goat Oxland And Sheepwalk Creshe
e1d58545-674a-4ca4-ba1f-4621be5868a7,-30.19715,30.58603,Gobizazi Creach
895426f2-8101-46f1-8cc6-a3c9fe20bb84,-30.174537,30.54633,Isibusiso Creach
f4765a3b-de78-4233-9542-a36d9e92f8a8,-30.250962,30.682947,Khulisa Creach
839f4791-f52f-4fa2-95e0-f79e41032fb3,-30.163615,30.569138,Mahlala Creach
c72b3145-a088-4aa4-bbf9-718ca0e1ed82,,,Masakhane Creshe
4aec9191-5705-4511-87f2-8040bc2fab4f,,,Mbulula Creche
e27d000b-3ea9-4ceb-aa79-0ffb458301d6,,,Mqangqala Creche
5c5a440f-c803-4a71-ad60-19e2dd83d968,-30.183918,-30.183930.586928,Prince Inganekwane
79bbb17b-880c-48aa-8c7e-669921a89dff,,,Siyabonga Creche
4c8fcd78-cc25-47d2-b48d-051053ddf42f,,,Siyathuthuka Creshe
f72cbabb-f20b-48ff-9f60-3958d0607787,,,S'khethokuhle Creshe
bea4da27-1dce-44e7-9991-5a079ff634cf,-30.185407,30.623892,Swelihle Creach
3b3b6e5c-a319-44b7-bba5-8b0c08d0b878,-30.146602,30.460658,Thenbalethu Creach
ff3f6982-81b5-4b08-b4d8-ea16a0b1a1bd,,,Brite son Educare
0e7cd640-141c-4740-8c9c-4fafd58ba6c5,,,Dlakuse
24fed0dd-2c3a-445a-af12-80fc52e2837d,,,Emakhalaneni
fdf9884e-09f4-463f-9f8f-b7c864159781,-29.677255,31.020398,Fairyland Creche (Barred Access)
86e16912-7288-4abe-9f36-9bdb4f396cb7,-29.69703,31.029527,Grandmore Educare (Barred Access)
255ef38b-d284-4163-96a0-feaf95f2da32,-29.85953,31.022468,Little Flower College
5469dd13-35be-4603-8e8d-abd88eda1b45,-29.90954,31.02089,Little Graduat̬s Educare (Barred Access)
090c594a-5d7f-4a9a-86d6-fe0f8c658ca3,,,Mbalenhle
9910b769-6747-4469-ab0b-a8531538d526,-29.859892,31.036157,Menonites Crech
31369794-0918-4dfd-b405-caeaad2c542b,,,Nqobuzulu
174d28a8-16f7-4fc9-a782-1e9b0a1a3a67,,,Okhukhwaneni
c01a2a39-391b-4317-8791-637669fdca05,-29.881843,30.911903,Parkside Kids Academy (Barred Access)
24cf5e16-7bd7-4e0e-bc50-060bf3963bd9,,,Saarbeeyah Crech
59a6586a-2c31-11e3-add1-001e673400ac,,,Dummy Audit
